Weights	ampicillin	amoxicillin-clavulanic_acid	amikacin*	cefazolin	cefalotin	ciprofloxacin	cefixime	ceftazidime	gentamicin_C	meropenem*	nitrofurantoin*	piperacillin-tazobactam	tetracycline	tobramycin	trimethoprim-sulfamethoxazole	cefoxitin	ceftriaxone	ertapenem*
tet(C)	0.008964909	0.7167757	0.025159086	0.953105317	3.180828523	0.396114247	0.851220103	0.851220103	0.177058152	-2.047495156	-4.493001962	-0.956410234	0.014217776	-0.571535896	0.411166581	-0.33174138	0.851220103	-0.007161237
sul1	0.014882741	0.159378208	0.158096592	1.129387376	-0.840089709	-0.044454403	0.272390198	0.272390198	0.000798528	0.35166894	4.786329164	0.650401808	0.010637225	-1.548231657	0.695889339	1.87947723	0.272390198	0.212141071
APH(6)-Id	0.010405591	0.020902637	0.026353185	0.733598889	-0.852896774	0.025748584	0.664011326	0.664011326	0.32349881	-0.957476834	-2.071871926	-0.269600589	0.010344498	3.475124631	0.469248394	0.05698377	0.664011326	-0.17280784
APH(3'')-Ib	0.010405591	-0.181216563	0.022630026	-2.144617853	-1.807773956	0.051355625	-1.877877704	-1.877877704	0.13618233	-0.968092878	-2.07145303	-0.351123057	0.009952959	1.294057349	0.30923168	-0.352352037	-1.877877704	-0.208465155
dfrA17	0.010422264	0.183684745	0.014171667	-0.799699158	-0.371073343	-0.000960783	-0.317697411	-0.317697411	-0.38591943	0.835736637	1.457476725	-0.184058649	0.009945694	0.17476935	0.805440985	-0.471276083	-0.317697411	0.445648178
sul2	0.011925803	-0.934174553	0.009059022	-0.896764612	2.575668571	-0.045622524	-0.794537244	-0.794537244	-0.188608906	-0.521641289	6.165587669	-0.649545809	0.009206636	-8.118989749	0.321320649	-0.575988782	-0.794537244	-0.228474239
aadA5	0.011558961	0.277882998	0.008853379	-0.870506597	-2.47239355	-0.023130585	-0.321037287	-0.321037287	-0.551748105	0.829533532	1.42805875	-0.215858117	0.009159236	0.242892151	0.700358727	-0.356264078	-0.321037287	0.3867869
Mrx	0.013755483	-0.028979356	-0.022199974	0.597480337	1.724202116	-0.009896524	0.763937359	0.763937359	-0.589885075	0.044386227	-2.054445971	0.192080323	0.008737223	-1.310078443	0.703886208	-0.251858656	0.763937359	0.035560962
mphA	0.013386077	1.023242909	-0.0114733	1.74367457	1.569461087	0.117898365	1.418787851	1.418787851	-0.534397498	0.156703176	-1.727870478	0.236973913	0.008351429	-0.542301199	0.592016874	0.580846243	1.418787851	0.202721673
Salmonella enterica gyrA conferring resistance to fluoroquinolones	0.015318086	-0.268846227	0.164137258	3.370820999	2.238094581	1.624164539	3.182704549	3.182704549	0.747343201	-0.055579208	2.110184547	-0.148766785	0.006895847	3.073464259	0.0911426	1.963958084	3.182704549	0.28213667
Escherichia coli parC conferring resistance to fluoroquinolone	0.016053806	1.010179466	0.158829563	1.462862214	0.480950594	1.356154668	1.774662399	1.774662399	0.985169046	-0.133085933	1.677484412	0.736701596	0.006884314	3.664985215	0.190056141	1.932236404	1.774662399	0.128786316
mdtM	0.005485118	-1.33294929	-0.084921721	-1.115824892	2.032320497	0.203072891	-1.958872549	-1.958872549	-0.035866292	-0.934255461	6.303083667	-0.139820926	0.004721418	-6.639141902	0.084817693	-1.137286981	-1.958872549	-0.119739462
AAC(3)-IIb	0.006194453	0.373689551	-0.064428749	-0.652737515	0.529195578	0.201664505	-0.319241188	-0.319241188	4.429330147	-1.907890374	3.968999638	-0.279155035	0.003734348	15.6860518	-0.013330824	-0.84702951	-0.319241188	-0.69799331
CTX-M-15	0.007638189	1.12263314	-0.079687168	4.130662843	0.826334282	0.299100076	4.158035328	4.158035328	0.417139746	0.551473215	-2.706927587	-0.070436569	0.003634025	-5.825073969	-0.185883577	0.139058794	4.158035328	-0.171356203
AAC(6')-IIa	0.005091111	0.896470422	-0.052722831	0.260175741	0.518274577	0.230250257	0.285990197	0.285990197	0.304234908	0.776797554	-0.012387469	0.292205544	0.003316647	5.502246069	0.015004018	0.181006786	0.285990197	0.069331783
catB3	0.005091111	0.896470422	-0.052722831	0.260175741	0.518274577	0.230250257	0.285990197	0.285990197	0.304234908	0.776797554	-0.012387469	0.292205544	0.003316647	5.502246069	0.015004018	0.181006786	0.285990197	0.069331783
