Weights	ampicillin*	amoxicillin-clavulanic_acid*	amikacin*	cefazolin*	cefalotin*	ciprofloxacin	cefixime*	ceftazidime	gentamicin_C	meropenem	piperacillin-tazobactam	tobramycin*	trimethoprim-sulfamethoxazole*	cefoxitin*	ceftriaxone*
MexK	-0.543148307	-0.543148307	-0.005777022	0.077936713	0.05794412	0.593924891	0.033496155	0.223666698	0.77060391	0.07250919	0.088058771	-0.012851089	-0.175794439	-0.543148307	-0.543148307
basR	-1.560650296	-1.560650296	-0.527899635	-0.116653965	-2.309890249	-0.770643004	-4.712245273	0.226948014	0.020855637	-2.554123572	-0.762172133	-0.473121338	0.002711831	-1.560650296	-1.560650296
OprJ	-0.548287783	-0.548287783	-0.017044621	0.08188315	0.05779391	0.595832178	0.033300023	0.223666698	0.77060391	-0.847067589	0.02008679	-0.017994882	-0.177531655	-0.548287783	-0.548287783
adeF	8.666030317	8.666030317	-0.780482789	0.358685427	2.218633071	-0.796778506	4.149390648	-1.56187904	-3.987632139	-0.056417411	-0.553718579	0.124994236	4.967838576	8.666030317	8.666030317
TriA	-0.543148307	-0.543148307	-0.005777022	0.077936713	0.05794412	0.593924891	0.033496155	0.223666698	0.77060391	0.07250919	0.088058771	-0.012851089	-0.175794439	-0.543148307	-0.543148307
MexJ	-0.543148307	-0.543148307	-0.005777022	0.077936713	0.05794412	0.593924891	0.033496155	0.223666698	0.77060391	0.07250919	0.088058771	-0.012851089	-0.175794439	-0.543148307	-0.543148307
Pseudomonas aeruginosa emrE	-0.543148307	-0.543148307	-0.005777022	0.077936713	0.05794412	0.593924891	0.033496155	0.223666698	0.77060391	0.07250919	0.088058771	-0.012851089	-0.175794439	-0.543148307	-0.543148307
OpmH	6.864256444	6.864256444	-0.0140527	0.083844084	1.055150848	2.797534067	0.835121669	2.551200422	3.630084264	0.135064828	-0.668153941	-0.020747195	-0.164030062	6.864256444	6.864256444
MexC	-0.543148307	-0.543148307	-0.005777022	0.077936713	0.05794412	0.593924891	0.033496155	0.223666698	0.77060391	0.07250919	0.088058771	-0.012851089	-0.175794439	-0.543148307	-0.543148307
OpmD	-0.575179847	-0.575179847	0.005393313	0.04921424	-0.117715054	-1.718352526	-0.128793153	-0.694839704	0.770509572	0.07250919	-0.628272583	-0.008760963	-0.852126319	-0.575179847	-0.575179847
