P-values	ampicillin	amoxicillin-clavulanic_acid	amikacin*	cefazolin	cefalotin	ciprofloxacin	cefixime	ceftazidime	gentamicin_C	meropenem*	nitrofurantoin*	piperacillin-tazobactam	tetracycline	tobramycin	trimethoprim-sulfamethoxazole	cefoxitin	ceftriaxone	ertapenem*
AcrF	nan	nan	0	0	nan	0	nan	nan	nan	0.044	0.431	nan	nan	nan	nan	nan	nan	0.461
gadW	nan	nan	0.992	0	nan	0	nan	nan	nan	0.423	0.423	nan	nan	nan	nan	nan	nan	0.713
Escherichia coli marR mutant conferring antibiotic resistance	nan	nan	0	0	nan	0	nan	nan	nan	0.254	0.171	nan	nan	nan	nan	nan	nan	0.496
mdtH	nan	nan	0	0	nan	0	nan	nan	nan	0.079	0.003	nan	nan	nan	nan	nan	nan	0.524
CARB-20	nan	nan	0.935	0	nan	0	nan	nan	nan	0.695	0.695	nan	nan	nan	nan	nan	nan	0.447
eptA	nan	nan	0	0	nan	0	nan	nan	nan	0.079	0.003	nan	nan	nan	nan	nan	nan	0.524
adeF	nan	nan	0	0	nan	0	nan	nan	nan	0.068	0.287	nan	nan	nan	nan	nan	nan	0.223
emrR	nan	nan	0	0	nan	0	nan	nan	nan	0.079	0.003	nan	nan	nan	nan	nan	nan	0.524
mdtA	nan	nan	0	0	nan	0	nan	nan	nan	0.002	0.019	nan	nan	nan	nan	nan	nan	0.407
vgaC	nan	nan	0.92	0	nan	0	nan	nan	nan	0.513	0.513	nan	nan	nan	nan	nan	nan	0.202
Escherichia coli nfsA mutations conferring resistance to nitrofurantoin	nan	nan	0	0	nan	0	nan	nan	nan	0.079	0.003	nan	nan	nan	nan	nan	nan	0.524
baeS	nan	nan	0	0	nan	0	nan	nan	nan	0.002	0.019	nan	nan	nan	nan	nan	nan	0.407
mdtC	nan	nan	0.938	0	nan	0	nan	nan	nan	0.028	0.028	nan	nan	nan	nan	nan	nan	0.365
emrK	nan	nan	0.846	0	nan	0	nan	nan	nan	0.738	0.738	nan	nan	nan	nan	nan	nan	0.544
Escherichia coli emrE	nan	nan	0.91	0	nan	0.99	nan	nan	nan	0.252	0.252	nan	nan	nan	nan	nan	nan	0.753
Escherichia coli UhpT with mutation conferring resistance to fosfomycin	nan	nan	0.97	0	nan	0	nan	nan	nan	0.676	0.676	nan	nan	nan	nan	nan	nan	0.094
bacA	nan	nan	0	0	nan	0	nan	nan	nan	0.079	0.003	nan	nan	nan	nan	nan	nan	0.524
mdtB	nan	nan	0	0	nan	0	nan	nan	nan	0.002	0.019	nan	nan	nan	nan	nan	nan	0.407
cpxA	nan	nan	0	0	nan	0	nan	nan	nan	0.079	0.003	nan	nan	nan	nan	nan	nan	0.524
TolC	nan	nan	0	0	nan	0	nan	nan	nan	0.079	0.003	nan	nan	nan	nan	nan	nan	0.524
evgA	nan	nan	0	0	nan	0	nan	nan	nan	0.77	0.009	nan	nan	nan	nan	nan	nan	0.765
Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin	nan	nan	0	0	nan	0	nan	nan	nan	0.079	0.003	nan	nan	nan	nan	nan	nan	0.524
PmrF	nan	nan	0.887	0	nan	0	nan	nan	nan	0.738	0.738	nan	nan	nan	nan	nan	nan	0.544
YojI	nan	nan	0	0	nan	0	nan	nan	nan	0.079	0.003	nan	nan	nan	nan	nan	nan	0.524
Escherichia coli soxS with mutation conferring antibiotic resistance	nan	nan	0	0	nan	0	nan	nan	nan	0.079	0.003	nan	nan	nan	nan	nan	nan	0.524
Escherichia coli parC conferring resistance to fluoroquinolone	nan	nan	0.915	0	nan	0	nan	nan	nan	0.953	0.017	nan	nan	nan	nan	nan	nan	0.609
Klebsiella pneumoniae acrA	nan	nan	0.921	nan	nan	nan	nan	nan	nan	0.372	0.372	nan	nan	nan	nan	nan	nan	0.256
Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics	nan	nan	0	0	nan	0	nan	nan	nan	0.079	0.003	nan	nan	nan	nan	nan	nan	0.524
emrA	nan	nan	0	0	nan	0	nan	nan	nan	0.079	0.003	nan	nan	nan	nan	nan	nan	0.524
evgS	nan	nan	0.97	0	nan	0	nan	nan	nan	0.906	0.008	nan	nan	nan	nan	nan	nan	0.673
AcrS	nan	nan	0	0	nan	0	nan	nan	nan	0.212	0.014	nan	nan	nan	nan	nan	nan	0.17
ugd	nan	nan	0.991	0	nan	0	nan	nan	nan	0.902	0	nan	nan	nan	nan	nan	nan	0.712
mdtO	nan	nan	0	0	nan	0	nan	nan	nan	0.079	0.003	nan	nan	nan	nan	nan	nan	0.524
marA	nan	nan	0	0	nan	0	nan	nan	nan	0.327	0	nan	nan	nan	nan	nan	nan	0.199
Escherichia coli soxR with mutation conferring antibiotic resistance	nan	nan	0	0	nan	0	nan	nan	nan	0.079	0.003	nan	nan	nan	nan	nan	nan	0.524
Escherichia coli mdfA	nan	nan	0	0	nan	0	nan	nan	nan	0.079	0.003	nan	nan	nan	nan	nan	nan	0.524
H-NS	nan	nan	0	0	nan	0	nan	nan	nan	0.079	0.003	nan	nan	nan	nan	nan	nan	0.524
Escherichia coli PtsI with mutation conferring resistance to fosfomycin	nan	nan	0.899	0	nan	0	nan	nan	nan	0.406	0.406	nan	nan	nan	nan	nan	nan	0.08
mdtN	nan	nan	0	0	nan	0	nan	nan	nan	0.079	0.003	nan	nan	nan	nan	nan	nan	0.524
baeR	nan	nan	0	0	nan	0	nan	nan	nan	0.002	0.019	nan	nan	nan	nan	nan	nan	0.407
AcrE	nan	nan	0	0	nan	0	nan	nan	nan	0.056	0.622	nan	nan	nan	nan	nan	nan	0.307
