Sample ID	Tested R Phenotype	Predicted R Phenotype	Correct R Prediction	Correct S Prediction	Overprediction	Underprediction
C0644	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, ciprofloxacin, piperacillin-tazobactam, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ertapenem	ampicillin, cefalotin, ciprofloxacin, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole	ampicillin, ciprofloxacin, trimethoprim-sulfamethoxazole, tetracycline, cefalotin	gentamicin_C, amikacin, ceftriaxone, ceftazidime, meropenem, cefixime, tobramycin	nitrofurantoin	piperacillin-tazobactam, cefoxitin, ertapenem, amoxicillin-clavulanic_acid, cefazolin
C0597	ampicillin	ampicillin, cefalotin, ciprofloxacin, nitrofurantoin, tetracycline	ampicillin	gentamicin_C, amikacin, ceftriaxone, trimethoprim-sulfamethoxazole, piperacillin-tazobactam, ceftazidime, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin	ciprofloxacin, tetracycline, nitrofurantoin, cefalotin	
C0483	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin	ampicillin, cefalotin, ciprofloxacin, nitrofurantoin, tetracycline	ampicillin, cefalotin	gentamicin_C, amikacin, ceftriaxone, trimethoprim-sulfamethoxazole, piperacillin-tazobactam, ceftazidime, cefoxitin, ertapenem, meropenem, cefixime, tobramycin	ciprofloxacin, tetracycline, nitrofurantoin	amoxicillin-clavulanic_acid, cefazolin
C0596	ampicillin, cefalotin	ampicillin, cefazolin, cefalotin, ciprofloxacin, nitrofurantoin, tetracycline	ampicillin, cefalotin	gentamicin_C, amikacin, ceftriaxone, trimethoprim-sulfamethoxazole, piperacillin-tazobactam, ceftazidime, ertapenem, meropenem, amoxicillin-clavulanic_acid, cefoxitin, cefixime, tobramycin	ciprofloxacin, tetracycline, nitrofurantoin, cefazolin	
C0472	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, ciprofloxacin, cefixime, ceftazidime, gentamicin_C, nitrofurantoin, tobramycin, cefoxitin, ceftriaxone	ampicillin, amikacin, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, nitrofurantoin, piperacillin-tazobactam, tetracycline, cefoxitin	gentamicin_C, ampicillin, ciprofloxacin, ceftazidime, nitrofurantoin, cefoxitin, cefalotin	trimethoprim-sulfamethoxazole, ertapenem, meropenem	amikacin, piperacillin-tazobactam, tetracycline	ceftriaxone, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin
C0183	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, ceftazidime, gentamicin_C, tetracycline, tobramycin, trimethoprim-sulfamethoxazole, ceftriaxone	ampicillin, amikacin, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole	gentamicin_C, ampicillin, trimethoprim-sulfamethoxazole, ceftazidime, tetracycline, cefalotin	piperacillin-tazobactam, cefoxitin, ertapenem, meropenem	ciprofloxacin, amikacin, nitrofurantoin	ceftriaxone, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin
C0438	ampicillin, cefalotin, ciprofloxacin, cefoxitin	ampicillin, cefalotin, ciprofloxacin, nitrofurantoin, tetracycline	ampicillin, ciprofloxacin, cefalotin	gentamicin_C, amikacin, ceftriaxone, trimethoprim-sulfamethoxazole, piperacillin-tazobactam, ceftazidime, ertapenem, meropenem, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin	tetracycline, nitrofurantoin	cefoxitin
C0440	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, ciprofloxacin, cefixime, ceftazidime, piperacillin-tazobactam, tetracycline, tobramycin, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, cefalotin, ciprofloxacin, ceftazidime, nitrofurantoin, piperacillin-tazobactam, tetracycline, trimethoprim-sulfamethoxazole	ampicillin, ciprofloxacin, trimethoprim-sulfamethoxazole, piperacillin-tazobactam, ceftazidime, tetracycline, cefalotin	gentamicin_C, amikacin, ertapenem, meropenem	nitrofurantoin	ceftriaxone, cefoxitin, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin
C0451	ampicillin, cefalotin, ciprofloxacin, tetracycline, trimethoprim-sulfamethoxazole	ampicillin, cefalotin, ciprofloxacin, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole	ampicillin, ciprofloxacin, trimethoprim-sulfamethoxazole, tetracycline, cefalotin	gentamicin_C, amikacin, ceftriaxone, piperacillin-tazobactam, ceftazidime, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, cefazolin, cefixime, tobramycin	nitrofurantoin	
C0627	ampicillin, cefazolin, cefalotin, ciprofloxacin, cefixime, ceftazidime, trimethoprim-sulfamethoxazole, ceftriaxone	ampicillin, cefalotin, ciprofloxacin, ceftazidime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole	ampicillin, ciprofloxacin, trimethoprim-sulfamethoxazole, ceftazidime, cefalotin	gentamicin_C, amikacin, piperacillin-tazobactam, cefoxitin, ertapenem, meropenem, amoxicillin-clavulanic_acid, tobramycin	tetracycline, nitrofurantoin	ceftriaxone, cefazolin, cefixime
