Sample ID	Tested R Phenotype	Predicted R Phenotype	Correct R Prediction	Correct S Prediction	Overprediction	Underprediction
C1430	ampicillin, amoxicillin-clavulanic_acid, amikacin, cefazolin, cefixime, ceftazidime, gentamicin_C, meropenem, nitrofurantoin, piperacillin-tazobactam, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	ceftazidime, meropenem, trimethoprim-sulfamethoxazole, ampicillin, gentamicin_C, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	tobramycin	ciprofloxacin	cefazolin, piperacillin-tazobactam, cefixime, nitrofurantoin, amikacin, cefoxitin
C0215	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, meropenem, gentamicin_C, ciprofloxacin	cefazolin, cefixime, nitrofurantoin, cefoxitin
C1434	ampicillin, amoxicillin-clavulanic_acid, cefazolin, ciprofloxacin, cefixime, ceftazidime, gentamicin_C, meropenem, nitrofurantoin, piperacillin-tazobactam, tetracycline, tobramycin, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C	ceftazidime, ampicillin, ciprofloxacin, gentamicin_C	amikacin		meropenem, cefazolin, trimethoprim-sulfamethoxazole, piperacillin-tazobactam, cefixime, ceftriaxone, nitrofurantoin, tobramycin, cefoxitin, tetracycline, amoxicillin-clavulanic_acid
C0356	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, ceftazidime, nitrofurantoin, piperacillin-tazobactam, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	ceftazidime, trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	amikacin, tobramycin	meropenem, gentamicin_C, ciprofloxacin	cefazolin, piperacillin-tazobactam, cefixime, nitrofurantoin, cefoxitin
C0260	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, nitrofurantoin, piperacillin-tazobactam, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, amikacin, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, tobramycin, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline		ceftazidime, meropenem, gentamicin_C, amikacin, tobramycin, ciprofloxacin	cefazolin, piperacillin-tazobactam, cefixime, nitrofurantoin, cefoxitin
C0007	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, ceftazidime, gentamicin_C, nitrofurantoin, piperacillin-tazobactam, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	ceftazidime, trimethoprim-sulfamethoxazole, cefalotin, ampicillin, gentamicin_C, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	amikacin, tobramycin	meropenem, ciprofloxacin	cefazolin, piperacillin-tazobactam, cefixime, nitrofurantoin, cefoxitin
C1440	ampicillin, amoxicillin-clavulanic_acid, cefazolin, ciprofloxacin, cefixime, ceftazidime, meropenem, nitrofurantoin, piperacillin-tazobactam, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	ceftazidime, meropenem, trimethoprim-sulfamethoxazole, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline, ciprofloxacin	amikacin, tobramycin	gentamicin_C	cefazolin, piperacillin-tazobactam, cefixime, nitrofurantoin, cefoxitin
C0168	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, meropenem, gentamicin_C, ciprofloxacin	cefazolin, cefixime, nitrofurantoin, cefoxitin
C0053	cefazolin, cefalotin, cefixime, nitrofurantoin, tetracycline	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	cefalotin, tetracycline	piperacillin-tazobactam, amikacin, tobramycin, cefoxitin	ceftazidime, meropenem, trimethoprim-sulfamethoxazole, ampicillin, gentamicin_C, ceftriaxone, amoxicillin-clavulanic_acid, ciprofloxacin	cefazolin, cefixime, nitrofurantoin
C0223	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, meropenem, gentamicin_C, ciprofloxacin	cefazolin, cefixime, nitrofurantoin, cefoxitin
C0379	ampicillin, amoxicillin-clavulanic_acid, cefazolin, cefalotin, cefixime, nitrofurantoin, tetracycline, trimethoprim-sulfamethoxazole, cefoxitin, ceftriaxone	ampicillin, amoxicillin-clavulanic_acid, cefalotin, ciprofloxacin, ceftazidime, gentamicin_C, meropenem, tetracycline, trimethoprim-sulfamethoxazole, ceftriaxone	trimethoprim-sulfamethoxazole, cefalotin, ampicillin, ceftriaxone, amoxicillin-clavulanic_acid, tetracycline	piperacillin-tazobactam, amikacin, tobramycin	ceftazidime, meropenem, gentamicin_C, ciprofloxacin	cefazolin, cefixime, nitrofurantoin, cefoxitin
