Meta-model ID / Model ID	Meta-model name / Model name	Category	Confers resistance to
907	fexA	Strict	chloramphenicol, florfenicol
1097	Erm(38)	Strict	erythromycin, roxithromycin, lincomycin, telithromycin, clarithromycin, clindamycin, tylosin, spiramycin, azithromycin, dirithromycin, pristinamycin IA, quinupristin, pristinamycin IIA, madumycin II, griseoviridin, dalfopristin, pristinamycin IB, virginiamycin S2, vernamycin B-gamma, vernamycin C, patricin A, patricin B, ostreogrycin B3, oleandomycin
1042	Pseudomonas aeruginosa catB7	Strict	azidamfenicol, chloramphenicol, thiamphenicol
1928	OXA-50	Strict	ampicillin, cefalotin
954	APH(3')-IIb	Strict	ribostamycin, butirosin, kanamycin A, gentamicin B, paromomycin
389	tetW	Strict	tetracycline, doxycycline, minocycline, chlortetracycline, demeclocycline, oxytetracycline
1130	PDC-9	Strict	ceftazidime
1222	FosA	Perfect	fosfomycin
2196	Pseudomonas aeruginosa gyrA conferring resistance to fluoroquinolones	Strict	ciprofloxacin, levofloxacin, ofloxacin, sparfloxacin, pefloxacin, sitafloxacin
2303	bcr-1	Strict	bicyclomycin
2655	Pseudomonas aeruginosa emrE	Perfect	gentamicin C
