Meta-model ID / Model ID	Meta-model name / Model name	Category	Confers resistance to
900	tet(C)	Strict	tetracycline
1042	Pseudomonas aeruginosa catB7	Strict	azidamfenicol, chloramphenicol, thiamphenicol
1928	OXA-50	Strict	ampicillin, cefalotin
954	APH(3')-IIb	Strict	ribostamycin, butirosin, kanamycin A, gentamicin B, paromomycin
1130	PDC-9	Strict	ceftazidime
1222	FosA	Perfect	fosfomycin
1558	Bacillus subtilis mprF	Strict	defensin
2303	bcr-1	Strict	bicyclomycin
2682	MexAB-OprM with NalC mutations conferring resistance to aztreonam	Partial	ciprofloxacin, tetracycline, ceftazidime, ceftriaxone, meropenem, aztreonam, ampicillin, amoxicillin-clavulanic acid, trimethoprim-sulfamethoxazole
2655	Pseudomonas aeruginosa emrE	Perfect	gentamicin C
