P-values	ampicillin*	amoxicillin-clavulanic_acid*	amikacin*	cefazolin*	cefalotin*	ciprofloxacin	cefixime*	ceftazidime	gentamicin_C	meropenem	piperacillin-tazobactam	tobramycin*	trimethoprim-sulfamethoxazole*	cefoxitin*	ceftriaxone*
MexK	0.965	0.965	0.011	0.05	0.178	0	0.344	0	0.79	nan	nan	0	0.73	0.965	0.965
basR	0.583	0.583	0.894	0.273	0.867	0	0.589	0	0.484	nan	nan	0.696	0.326	0.583	0.583
OprJ	0.284	0.284	0.08	0.936	0.923	0	0.849	0	0.792	nan	nan	0	0.221	0.284	0.284
adeF	0.302	0.302	0.583	0.202	0.977	0	0.376	0	0.826	nan	nan	0.436	0.171	0.302	0.302
TriA	0.965	0.965	0.011	0.05	0.178	0	0.344	0	0.79	nan	nan	0	0.73	0.965	0.965
MexJ	0.965	0.965	0.011	0.05	0.178	0	0.344	0	0.79	nan	nan	0	0.73	0.965	0.965
Pseudomonas aeruginosa emrE	0.965	0.965	0.011	0.05	0.178	0	0.344	0	0.79	nan	nan	0	0.73	0.965	0.965
OpmH	0.289	0.289	0.012	0.618	0.754	0	0.984	0	0.79	nan	nan	0.602	0.253	0.289	0.289
MexC	0.965	0.965	0.011	0.05	0.178	0	0.344	0	0.79	nan	nan	0	0.73	0.965	0.965
OpmD	0.909	0.909	0.73	0.664	0.987	0	0.957	0	0.79	nan	nan	0	0.792	0.909	0.909
MuxC	0.85	0.85	1	0.581	0.734	0	0.974	0	0.79	nan	nan	0	0.888	0.85	0.85
Pseudomonas aeruginosa catB7	0.73	0.73	0	0.7	0.178	0	0.673	0	0.79	nan	nan	0	0.797	0.73	0.73
mexY	0.965	0.965	0.011	0.05	0.178	0	0.344	0	0.79	nan	nan	0	0.73	0.965	0.965
MuxA	0.85	0.85	1	0.581	0.734	0	0.974	0	0.79	nan	nan	0	0.888	0.85	0.85
Pseudomonas aeruginosa CpxR	0.965	0.965	0.011	0.05	0.178	0	0.344	0	0.79	nan	nan	0	0.73	0.965	0.965
MexL	0.965	0.965	0.011	0.05	0.178	0	0.344	0	0.79	nan	nan	0	0.73	0.965	0.965
ArmR	0.707	0.707	0.893	0.922	0.581	0.932	0.638	0	1	nan	nan	0.626	0.873	0.707	0.707
MexS	0.85	0.85	1	0.581	0.734	0	0.974	0	0.79	nan	nan	0	0.888	0.85	0.85
OpmB	0.85	0.85	1	0.581	0.734	0	0.974	0	0.79	nan	nan	0	0.888	0.85	0.85
OprN	0.85	0.85	1	0.581	0.734	0	0.974	0	0.79	nan	nan	0	0.888	0.85	0.85
opmE	0.965	0.965	0.011	0.05	0.178	0	0.344	0	0.79	nan	nan	0	0.73	0.965	0.965
bcr-1	0.965	0.965	0.011	0.05	0.178	0	0.344	0	0.79	nan	nan	0	0.73	0.965	0.965
basS	0.965	0.965	0.011	0.05	0.178	0	0.344	0	0.79	nan	nan	0	0.73	0.965	0.965
MexG	0.909	0.909	0.73	0.664	0.987	0	0.957	0	0.79	nan	nan	0	0.792	0.909	0.909
MexA	0.965	0.965	0.011	0.05	0.178	0	0.344	0	0.79	nan	nan	0	0.73	0.965	0.965
MexF	0.609	0.609	0.692	0.391	0.846	0	0.703	0	0.453	nan	nan	0.747	0.348	0.609	0.609
MexV	0.965	0.965	0.011	0.05	0.178	0	0.344	0	0.79	nan	nan	0	0.73	0.965	0.965
nalD	0.965	0.965	0.011	0.05	0.178	0	0.344	0	0.79	nan	nan	0	0.73	0.965	0.965
Pseudomonas aeruginosa soxR	0.749	0.749	0.797	0.934	0.849	0	0.815	0	0.79	nan	nan	0.817	0.825	0.749	0.749
FosA	0.965	0.965	0.011	0.05	0.178	0	0.344	0	0.79	nan	nan	0	0.73	0.965	0.965
PmpM	0.965	0.965	0.011	0.05	0.178	0	0.344	0	0.79	nan	nan	0	0.73	0.965	0.965
MexE	0.642	0.642	0.513	0.01	0.107	0	0.13	0	0.592	nan	nan	0	0.387	0.642	0.642
TriC	0.965	0.965	0.011	0.05	0.178	0	0.344	0	0.79	nan	nan	0	0.73	0.965	0.965
MuxB	0.85	0.85	1	0.581	0.734	0	0.974	0	0.79	nan	nan	0	0.888	0.85	0.85
OXA-50	0.965	0.965	0.011	0.05	0.178	0	0.344	0	0.79	nan	nan	0	0.73	0.965	0.965
mexN	0.64	0.64	0.032	0.109	0.27	0	0.284	0	0.59	nan	nan	0	0.554	0.64	0.64
MexI	0.909	0.909	0.73	0.664	0.987	0	0.957	0	0.79	nan	nan	0	0.792	0.909	0.909
OprM	0.965	0.965	0.011	0.05	0.178	0	0.344	0	0.79	nan	nan	0	0.73	0.965	0.965
MexR	0.965	0.965	0.011	0.05	0.178	0	0.344	0	0.79	nan	nan	0	0.73	0.965	0.965
MexH	0.965	0.965	0.011	0.05	0.178	0	0.344	0	0.79	nan	nan	0	0.73	0.965	0.965
MexD	0.591	0.591	0.88	0.319	0.971	0	0.513	0	0.504	nan	nan	0.777	0.464	0.591	0.591
